,영업 시간,가게명,가게 주소,업종,이미지url,카카오 url,별점,예측별점평균
169,일요일                                                                                    ,오카츠,광주 서구 치평로 112 정연하이빌 103호 (우)61950,"돈까스,우동",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F7A12E8BE8C93486F8D062F35B77AF427',https://place.map.kakao.com/1498075059,5.0,3.0
123,화~일 11:30 ~ 22:00,넓으실,광주 북구 대촌길6번길 20-6 1층 (우)61004,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1546E0284BC6CE8983',https://place.map.kakao.com/11396105,2.25,3.0
180,매일 11:00 ~ 22:00,장어명가청산 광주점,광주 동구 남문로 275 (우)61514,장어,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F09A9DF82FDE04FB19104F4FA789DFE65',https://place.map.kakao.com/27524036,2.6363636363636362,3.0
195,매일 11:30 ~ 22:00,청수민물장어,광주 서구 마륵로 27 (우)61955,장어,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F329B492634DF4B58BAB406204E0350E1',https://place.map.kakao.com/24925043,2.4,3.0
190,매일 11:30 ~ 22:30,어나더키친 수완점,광주 광산구 임방울대로 353 2층 (우)62247,양식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4A49251487EB416C8D3E17B27AC31FB8',https://place.map.kakao.com/27577990,3.5454545454545454,3.0
185,매일 12:00 ~ 23:00,육전명가,광주 서구 상무자유로 174 2층 (우)61964,"해물,생선",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F66DBED7184114F1AB5CA0F687C8BC273',https://place.map.kakao.com/10681971,2.5,3.0
76,매일 11:30 ~ 21:00,소코아 양림점,광주 남구 천변좌로 468 1층 (우)61663,일식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC6D49DC0CCB243AB8D7C5F5EF85628F8',https://place.map.kakao.com/697647569,4.380952380952381,3.0
109,일요일                                                                                    ,해남성내식당,광주 남구 봉선로 21 2층 (우)61692,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8F223F8603CB446A8A089E0DC0627CEF',https://place.map.kakao.com/1185743447,3.3333333333333335,3.0
98,매일 10:00 ~ 24:00,카페52 삼각점,광주 북구 설죽로 402 (우)61051,카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC43D1E6952CB45BEB1A8229A27961817',https://place.map.kakao.com/639580124,4.625,3.0
100,매일 11:00 ~ 21:30,옛날에금잔디,광주 광산구 도산로9번길 54 (우)62450,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F134FEA3A5111E25818',https://place.map.kakao.com/9889469,3.0,3.0
117,매일 17:30 ~ 04:00,파쿠야,광주 서구 내방로 348 2층 (우)61977,일식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA8EE9FFDA415494B9FE88833FEF34909',https://place.map.kakao.com/679986812,4.75,3.0
229,매일 16:00 ~ 23:00,돌돌이등갈비촌 광주본점,광주 서구 경열로76번길 6 1층 (우)61931,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7ECAC470741847E890B5E2C497FD645A',https://place.map.kakao.com/16191635,4.2,3.0
10,"월,수,목,금,토,일 11:30 ~ 21:30",더바른,광주 서구 상무중앙로28번길 4 세진빌딩 8층 (우)61963,샤브샤브,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F89CBF07955EA4D38B95FE56AC4708277',https://place.map.kakao.com/26628829,4.105263157894737,3.0
254,매일 00:00 ~ 24:00,평화식당,광주 동구 서석로7번길 6-27 (우)61484,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFB25CA12BD244C238CDA2A08AB50E051',https://place.map.kakao.com/8126406,4.181818181818182,3.0
232,매일 09:00 ~ 22:00,계절한정식명성,광주 서구 상무대로 722 (우)61999,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F22168B48566BA6DC01',https://place.map.kakao.com/27319718,5.0,3.0
255,화~일 11:00 ~ 21:00,말리화,광주 동구 제봉로82번길 13-5 (우)61465,중국요리,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0B4B0CDA066547F394D38E80FCA9D085',https://place.map.kakao.com/7860453,4.0,2.9615384615384617
17,매일 11:30 ~ 22:00,하해가,광주 서구 내방로 37 (우)61944,장어,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F8170409650b977c385bac2b87175e0996a59ea84',https://place.map.kakao.com/1988981487,3.5416666666666665,2.9583333333333335
82,매일 17:00 ~ 05:00,왕코등갈비 광주본점,광주 서구 금화로85번길 4-37 (우)62006,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F153A2925CD374BB79B67F9FC53FC4D3D',https://place.map.kakao.com/20110522,3.782608695652174,2.9565217391304346
259,매일 11:00 ~ 22:00,비아꽃게장,광주 광산구 비아동원촌길 71 (우)62253,"게,대게",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F67522D564AC04FD081EB10DE55C33E9A',https://place.map.kakao.com/12119913,3.0,2.9523809523809526
224,화~일 11:00 ~ 22:00,코코로9,광주 동구 장동로 36 (우)61466,디저트카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F42229866AE754B6DBE1794E39D7743D6',https://place.map.kakao.com/161552912,4.15,2.95
292,매일 10:00 ~ 20:00,갱소년,광주 광산구 송정로8번길 7-4 1층 (우)62437,디저트카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9AEB955A7B1B4D96B56528F6DC4BD5C4',https://place.map.kakao.com/806348915,3.388888888888889,2.9444444444444446
240,매일 09:30 ~ 22:00,달맞이 흑두부,광주 광산구 북문대로 500-17 (우)62272,두부전문점,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2173193D545822F259',https://place.map.kakao.com/15303592,3.142857142857143,2.9285714285714284
253,"화,수요일                                                                                    ",아우스밀,광주 동구 동명로25번길 4-1 (우)61430,디저트카페,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2A8F22CD4AE5485B9DF8F168B8330813',https://place.map.kakao.com/908861159,3.4074074074074074,2.925925925925926
268,월~토 17:30 ~ 02:00,독도집,광주 서구 상무대로876번길 11 1층 (우)61989,술집,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4705183EDDC04A6992ED8A63471A01A7',https://place.map.kakao.com/1559659558,4.767857142857143,2.9107142857142856
226,매일 11:00 ~ 20:00,광신보리밥,광주 북구 두리봉길 2-1 (우)61167,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDFBDEC1B063A4315949BC876E9D340B2',https://place.map.kakao.com/16193568,4.363636363636363,2.909090909090909
18,매일 11:30 ~ 22:00,황솔촌 충장점,광주 동구 중앙로160번길 16-10 (우)61484,갈비,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F224CA2465756279B13',https://place.map.kakao.com/21318122,4.181818181818182,2.909090909090909
33,매일 00:00 ~ 24:00,맛삼,광주 동구 서석로7번길 6-46 (우)61484,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7C9B6450BE62445F99C8506AE71CF696',https://place.map.kakao.com/10343783,3.4545454545454546,2.909090909090909
9,매일 11:30 ~ 21:30,미미원,광주 동구 백서로 218 1층 (우)61467,한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2EF8DABB112949E1911AF9891E5B2F1F',https://place.map.kakao.com/9008180,3.6666666666666665,2.909090909090909
124,매일 11:00 ~ 22:00,어센틱비스트로,광주 남구 봉선로79번길 9 (우)61695,양식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F825DD379034E4155A31D9DB563564E8F',https://place.map.kakao.com/1372300441,2.5454545454545454,2.909090909090909
277,매일 17:00 ~ 03:00,이층,광주 동구 동명로14번길 1 2층 (우)61434,"호프,요리주점",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9CC7580A87B148BD8ED08548410D851E',https://place.map.kakao.com/768670770,3.8,2.9
308,매일 16:00 ~ 24:00,카엔 광주봉선점,광주 남구 봉선중앙로47번길 12 1층 (우)61683,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC52246AC22C94AD19D20B9B3ADD6451A',https://place.map.kakao.com/564202140,4.444444444444445,2.888888888888889
